"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1551","Happy Wine Wednesday! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BE><ed><U+00B5><U+0082><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> #wine #winewednesday #oenophile #winelover #happy #winestagram… https://t.co/oTYsNm9g6S",FALSE,0,NA,2017-11-15 14:55:10,FALSE,NA,"930811418051428352",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Sparklingm0na",1,FALSE,FALSE,NA,NA
"1552","The Keto Reset Diet: https://t.co/TUq1tDuXqo #Sponsor #free #cookbooks #food &amp; #wine #Special #diet #kosher https://t.co/Ho16htZYZ1",FALSE,0,NA,2017-11-15 14:54:45,FALSE,NA,"930811313764347905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cookingbooks5",0,FALSE,FALSE,NA,NA
"1553","Need #Christmas #Gift ideas <U+2753>#customizable / #Personalized #wine glasses r <U+2764><U+FE0F> pair w a bottle. #wednesdaywisdom  https://t.co/fnu7X37qBL",FALSE,0,NA,2017-11-15 14:54:44,FALSE,NA,"930811307653246976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARusticGallery",1,FALSE,FALSE,NA,NA
"1554","It's #WineWednesday and for all you #Winelovers in #Melbourne #FLorida we have 50% off all bottles of #wine so grab… https://t.co/jX49k5ZQ0I",FALSE,0,NA,2017-11-15 14:54:22,TRUE,NA,"930811215777067008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JJsBar_Grille",1,FALSE,FALSE,NA,NA
"1555","Check out this #wine tasting room in the cellars of @MteRavasqueira #tapwinetour @tapairportugal #WineWednesday… https://t.co/eWY3iuCI1d",FALSE,3,NA,2017-11-15 14:54:18,TRUE,NA,"930811200165830656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DailyTravelTips",1,FALSE,FALSE,NA,NA
"1556","The Dry White #Wine You Still Need: #PatriciusTokaj @JvBUncorked #winewednesday https://t.co/iVYOprqT1T",FALSE,2,NA,2017-11-15 14:54:16,FALSE,NA,"930811193400483842",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PatriciusTokaj",2,FALSE,FALSE,NA,NA
"1557","#ReTweet #Wine #MarsanneWine  https://t.co/pzkilqnpFW Ben Haines Wine Co 2014 Marsanne White Wine https://t.co/Y3LmpeEsuP",FALSE,2,NA,2017-11-15 14:53:12,FALSE,NA,"930810925422120965",NA,"<a href=""http://momknowsshopping.com/MomKnowsShopping.php"" rel=""nofollow"">ReTweetMomKnowsShopping</a>","MomKnwsShopping",2,FALSE,FALSE,NA,NA
"1558","@NewAirUSA Loving this new #wine cooler! #WineWednesday #winelover What's your favorite wine? https://t.co/mxFBHxsp83",FALSE,2,"NewAirUSA",2017-11-15 14:52:40,FALSE,NA,"930810789786738688","620361845","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustBrennonBlog",2,FALSE,FALSE,NA,NA
"1559","High Five! The November 11th, 2017 @LCBO Vintages Release delivers some winners. by Rebecca Meir Liebman… https://t.co/xefPoSJXIn",FALSE,3,NA,2017-11-15 14:52:03,TRUE,NA,"930810633720881153",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SommSelects",3,FALSE,FALSE,NA,NA
"1560","Wine Folly: The Essential Guide to #Wine https://t.co/bSOSdekFly #winelovers #winetasting #wineoclock #vino https://t.co/2sKNStBGc7",FALSE,0,NA,2017-11-15 14:51:57,FALSE,NA,"930810610798989312",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","WineLoveShop",1,FALSE,FALSE,NA,NA
